Position,Track Name,Artist,Streams,URL,Week,Region
193,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,4679222,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2019-11-01,Global
194,Highway to Hell,AC/DC,4660169,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,2019-11-01,Global
195,Don't Call Me Up,Mabel,4657748,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-11-01,Global
196,Going Bad (feat. Drake),Meek Mill,4639322,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-11-01,Global
197,SLOW DANCING IN THE DARK,Joji,4635174,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,2019-11-01,Global
198,Bad Bad Bad (feat. Lil Baby),Young Thug,4634256,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH,2019-11-01,Global
199,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,4591325,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-11-01,Global
200,Something Just Like This,The Chainsmokers,4589763,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2019-11-01,Global
1,7 rings,Ariana Grande,31265664,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-29,Global
2,Con Calma,Daddy Yankee,31111446,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-03-29,Global
3,Sucker,Jonas Brothers,26364572,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-03-29,Global
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,24346526,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-03-29,Global
5,Wow.,Post Malone,23068875,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-03-29,Global
6,Shallow,Lady Gaga,22925480,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-29,Global
7,"break up with your girlfriend, i'm bored",Ariana Grande,21350116,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-03-29,Global
8,Dancing With A Stranger (with Normani),Sam Smith,18422872,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-03-29,Global
9,Sweet but Psycho,Ava Max,17465853,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-03-29,Global
10,Calma - Remix,Pedro Capó,17353582,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-03-29,Global
11,Don't Call Me Up,Mabel,16640130,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-03-29,Global
12,Baila Baila Baila,Ozuna,16532007,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-03-29,Global
13,Happier,Marshmello,16505528,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-03-29,Global
14,Secreto,Anuel AA,16353288,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-03-29,Global
15,MIDDLE CHILD,J. Cole,16334075,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-03-29,Global
16,Here With Me,Marshmello,16095016,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-03-29,Global
17,Old Town Road,Lil Nas X,15628371,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,2019-03-29,Global
18,i'm so tired...,Lauv,15541091,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-03-29,Global
19,Without Me,Halsey,15529065,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-03-29,Global
20,"thank u, next",Ariana Grande,15385942,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-03-29,Global
21,bury a friend,Billie Eilish,15334877,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-03-29,Global
22,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,14815511,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt,2019-03-29,Global
23,Talk,Khalid,14708599,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019-03-29,Global
24,HP,Maluma,14343668,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW,2019-03-29,Global
25,Murder On My Mind,YNW Melly,14026867,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019-03-29,Global
26,Giant (with Rag'n'Bone Man),Calvin Harris,13951975,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-03-29,Global
27,Pa Mí - Remix,Dalex,13534166,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,2019-03-29,Global
28,Going Bad (feat. Drake),Meek Mill,13176484,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-03-29,Global
29,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,13034803,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-03-29,Global
30,wish you were gay,Billie Eilish,13000917,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS,2019-03-29,Global
31,High Hopes,Panic! At The Disco,12523958,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-03-29,Global
32,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,12383076,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-03-29,Global
33,Let Me Down Slowly,Alec Benjamin,12371727,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-03-29,Global
34,Au DD,PNL,12211145,https://open.spotify.com/track/6VSaNvPPagk4U5Skxp6XfV,2019-03-29,Global
35,R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,11916963,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn,2019-03-29,Global
36,MIA (feat. Drake),Bad Bunny,11810414,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-03-29,Global
37,My Bad,Khalid,11718346,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5,2019-03-29,Global
38,Please Me,Cardi B,11361629,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,2019-03-29,Global
39,Bohemian Rhapsody - 2011 Mix,Queen,11277158,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2019-03-29,Global
40,Cherry Lady,Capital Bra,11248444,https://open.spotify.com/track/3r1cV21xPMkgCmxk8VqWOB,2019-03-29,Global
41,Adan y Eva,Paulo Londra,11195623,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-03-29,Global
42,Robbery,Juice WRLD,10875119,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2019-03-29,Global
43,SICKO MODE,Travis Scott,10836261,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-03-29,Global
44,Pure Water (with Migos),Mustard,10523200,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019-03-29,Global
45,Eastside (with Halsey & Khalid),benny blanco,10424197,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-03-29,Global
46,Desconocidos,Mau y Ricky,10368876,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-03-29,Global
47,Be Alright,Dean Lewis,10293463,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k,2019-03-29,Global
48,Better Now,Post Malone,10186626,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-03-29,Global
49,Someone You Loved,Lewis Capaldi,10130658,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-03-29,Global
50,Look Back at It,A Boogie Wit da Hoodie,10038117,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-03-29,Global
51,Who Do You Love,The Chainsmokers,9900636,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019-03-29,Global
52,Te Vi,Piso 21,9636664,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-03-29,Global
53,Thotiana,Blueface,9540171,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019-03-29,Global
54,Un Año,Sebastian Yatra,9388938,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp,2019-03-29,Global
55,lovely,Billie Eilish,9287370,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-03-29,Global
56,when the party's over,Billie Eilish,9140544,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-03-29,Global
57,Girls Like You (feat. Cardi B),Maroon 5,9032532,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-03-29,Global
58,On My Way,Alan Walker,8944636,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,2019-03-29,Global
59,Mixed Personalities (feat. Kanye West),YNW Melly,8922507,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,2019-03-29,Global
60,Amanece,Anuel AA,8871666,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-03-29,Global
61,a lot,21 Savage,8731160,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-03-29,Global
62,Ella Quiere Beber - Remix,Anuel AA,8560024,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,2019-03-29,Global
63,rockstar (feat. 21 Savage),Post Malone,8535641,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-03-29,Global
64,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,8534033,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-03-29,Global
65,Lucid Dreams,Juice WRLD,8512042,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-03-29,Global
66,Better,Khalid,8435277,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-03-29,Global
67,Fast,Juice WRLD,8372774,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ,2019-03-29,Global
68,ZEZE (feat. Travis Scott & Offset),Kodak Black,8276948,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-03-29,Global
69,SAD!,XXXTENTACION,8229767,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-03-29,Global
70,So Am I,Ava Max,8051452,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,2019-03-29,Global
71,Always Remember Us This Way,Lady Gaga,8041186,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019-03-29,Global
72,Drip Too Hard (Lil Baby & Gunna),Lil Baby,7979031,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-03-29,Global
73,Esclavo de Tus Besos,Manuel Turizo,7759395,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,2019-03-29,Global
74,Youngblood,5 Seconds of Summer,7668316,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-03-29,Global
75,Te Robaré,Nicky Jam,7640476,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-03-29,Global
76,Last Hurrah,Bebe Rexha,7618480,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,2019-03-29,Global
77,Bad Liar,Imagine Dragons,7603283,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-03-29,Global
78,Saturday Nights,Khalid,7597134,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-03-29,Global
79,Moonlight,XXXTENTACION,7503121,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-03-29,Global
80,Fingías,Paloma Mami,7397572,https://open.spotify.com/track/7o0oY5wRcoV7oPuDhD2J1z,2019-03-29,Global
81,Walk Me Home,P!nk,7364142,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE,2019-03-29,Global
82,Don't Stop Me Now - 2011 Mix,Queen,7243382,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-03-29,Global
83,In My Mind,Dynoro,7217684,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-03-29,Global
84,Wake Up in the Sky,Gucci Mane,7195358,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-03-29,Global
85,Mo Bamba,Sheck Wes,7173158,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-03-29,Global
86,Another One Bites The Dust - Remastered 2011,Queen,7124751,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-03-29,Global
87,2002,Anne-Marie,7113548,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-03-29,Global
88,Shape of You,Ed Sheeran,7020463,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-03-29,Global
89,I Like It,Cardi B,6956444,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-03-29,Global
90,Adictiva,Daddy Yankee,6876971,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-03-29,Global
91,Promises (with Sam Smith),Calvin Harris,6799482,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-03-29,Global
92,idontwannabeyouanymore,Billie Eilish,6786616,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019-03-29,Global
93,Price On My Head (feat. The Weeknd),NAV,6755123,https://open.spotify.com/track/4RbbzNY4MEcgzewYWkIsGu,2019-03-29,Global
94,Say My Name,David Guetta,6743771,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-03-29,Global
95,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,6705694,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-03-29,Global
96,Blackberry Sky,Eno,6705582,https://open.spotify.com/track/4cawYWrqMRz0T0hOIVxk6j,2019-03-29,Global
97,Confessions of a Dangerous Mind,Logic,6662540,https://open.spotify.com/track/5CE0V7z1ePOZQNJNpWxYGA,2019-03-29,Global
98,Believer,Imagine Dragons,6659263,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-03-29,Global
99,Body (feat. brando),Loud Luxury,6634836,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-03-29,Global
100,Splashin,Rich The Kid,6632341,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO,2019-03-29,Global
101,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,6605984,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,2019-03-29,Global
102,Taste (feat. Offset),Tyga,6490892,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-03-29,Global
103,Faucet Failure,Ski Mask The Slump God,6412949,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019-03-29,Global
104,Soltera,Lunay,6407798,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM,2019-03-29,Global
105,I Like Me Better,Lauv,6379624,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-03-29,Global
106,Just You and I,Tom Walker,6374512,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo,2019-03-29,Global
107,Perfect,Ed Sheeran,6370396,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-03-29,Global
108,Love Someone,Lukas Graham,6342412,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-03-29,Global
109,Jocelyn Flores,XXXTENTACION,6292245,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-03-29,Global
110,Psycho (feat. Ty Dolla $ign),Post Malone,6262917,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-03-29,Global
111,Reggaeton,J Balvin,6158944,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-03-29,Global
112,no tears left to cry,Ariana Grande,6135448,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019-03-29,Global
113,Aullando,Wisin & Yandel,6129405,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,2019-03-29,Global
114,God's Plan,Drake,6069522,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-03-29,Global
115,Si Se Da,Myke Towers,6024325,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-03-29,Global
116,Nights Like This (feat. Ty Dolla $ign),Kehlani,5994314,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy,2019-03-29,Global
117,Maman ne le sait pas (feat. Niska),Ninho,5971496,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI,2019-03-29,Global
118,Undrunk,FLETCHER,5881856,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,2019-03-29,Global
119,The Bones,Maren Morris,5864366,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL,2019-03-29,Global
120,No Sleep (feat. Bonn),Martin Garrix,5858398,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019-03-29,Global
